"name","chrom","chromStart","chromEnd","length","alias","description","freq.gene","freq.up","freq.syn","total"
"CNAG_00163","chr1","442897","446300","3403","null","general transcription factor 3C polypeptide 4","3","3","0",6
"CNAG_00164","chr1","447026","448723","1697","null","hypothetical protein CNAG_00164","0","24","1",25
"CNAG_00165","chr1","450185","451450","1265","null","methylthioadenosine phosphorylase","0","2","1",3
"CNAG_00166","chr1","452494","454578","2084","null","ATP-dependent RNA helicase DBP8","2","1","2",5
"CNAG_00167","chr1","454912","457078","2166","null","hypothetical protein CNAG_00167","2","1","4",7
"CNAG_00171","chr1","463029","464438","1409","null","peroxin-2","1","0","1",2
"CNAG_00175","chr1","474659","476107","1448","null","hypothetical protein CNAG_00175","2","0","4",6
"CNAG_00178","chr1","481142","485162","4020","null","DNA repair protein REV1","0","1","1",2
"CNAG_00179","chr1","488572","489943","1371","GPA2","guanine nucleotide-binding protein subunit alpha","0","1","0",1
"CNAG_00181","chr1","491751","493761","2010","FYV10","macrophage erythroblast attacher isoform 1","1","0","0",1
"CNAG_00183","chr1","497481","498775","1294","null","alternative cyclin Pcl12","0","2","0",2
"CNAG_00187","chr1","507083","509382","2299","UBP16","ubiquitin carboxyl-terminal hydrolase 1","0","0","1",1
"CNAG_00188","chr1","509423","510478","1055","null","endoplasmic reticulum protein","0","0","1",1
"CNAG_00190","chr1","512338","514159","1821","null","hypothetical protein CNAG_00190","0","2","0",2
"CNAG_00192","chr1","517793","521395","3602","null","hypothetical protein CNAG_00192","0","2","0",2
"CNAG_00234","chr1","613927","615256","1329","null","tRNA-dihydrouridine synthase 4","0","0","1",1
"CNAG_00235","chr1","615351","617537","2186","AMT1","amt family ammonium transporter","0","1","0",1
"CNAG_00239","chr1","628128","630490","2362","null","hypothetical protein CNAG_00239","0","1","0",1
"CNAG_00240","chr1","630798","634045","3247","null","hypothetical protein CNAG_00240","0","1","0",1
"CNAG_00255","chr1","667625","668043","418","null","hypothetical protein CNAG_00255","0","1","0",1
"CNAG_00257","chr1","669541","675329","5788","null","kinesin family member 21A","1","1","2",4
"CNAG_00258","chr1","676394","680311","3917","null","hypothetical protein CNAG_00258","0","0","1",1
"CNAG_00263","chr1","689599","690700","1101","null","serine/threonine/tyrosine-interacting protein","0","1","0",1
"CNAG_00267","chr1","696435","698233","1798","null","hypothetical protein CNAG_00267","0","0","1",1
"CNAG_00276","chr1","717809","718990","1181","null","hypothetical protein CNAG_00276","1","0","0",1
"CNAG_00288","chr1","745984","746917","933","null","oligoribonuclease","0","1","0",1
"CNAG_00300","chr1","772002","775338","3336","null","gamma-tubulin complex component 2","0","0","1",1
"CNAG_00308","chr1","790860","792851","1991","null","gly-X carboxypeptidase","0","0","1",1
"CNAG_00313","chr1","803371","806503","3132","null","hypothetical protein CNAG_00313","1","0","0",1
"CNAG_00326","chr1","833626","835621","1995","null","hypothetical protein CNAG_00326","0","1","0",1
"CNAG_00330","chr1","843583","845386","1803","null","transcription factor TFIIIB component b\'\'","1","0","0",1
"CNAG_00332","chr1","848559","852220","3661","null","hypothetical protein CNAG_00332","0","1","1",2
"CNAG_00335","chr1","860082","861484","1402","null","hypothetical protein CNAG_00335","0","1","0",1
"CNAG_00337","chr1","865584","868458","2874","null","hypothetical protein CNAG_00337","0","0","1",1
"CNAG_00342","chr1","874981","877529","2548","null","hypothetical protein CNAG_00342","0","0","1",1
"CNAG_00343","chr1","877920","879310","1390","null","hypothetical protein CNAG_00343","0","1","0",1
"CNAG_00347","chr1","886207","891417","5210","null","DEAH box polypeptide 36","1","0","2",3
"CNAG_00364","chr1","928880","930286","1406","null","tRNA threonylcarbamoyladenosine biosynthesis protein","0","0","1",1
"CNAG_00374","chr1","951148","953086","1938","null","hypothetical protein CNAG_00374","0","0","1",1
"CNAG_00377","chr1","960400","965385","4985","null","DNA topoisomerase II","0","4","0",4
"CNAG_00387","chr1","1019438","1021867","2429","null","hypothetical protein CNAG_00387","0","0","1",1
"CNAG_00388","chr1","1022092","1024835","2743","null","1-phosphatidylinositol-4-phosphate 5-kinase","1","3","0",4
"CNAG_00391","chr1","1030456","1031601","1145","null","hypothetical protein CNAG_00391","0","2","0",2
"CNAG_00392","chr1","1031778","1033485","1707","null","kelch repeat-containing protein","1","0","0",1
"CNAG_00393","chr1","1033937","1036850","2913","null","1,4-alpha-glucan-branching enzyme","1","2","0",3
"CNAG_00394","chr1","1037392","1037911","519","null","diphthamide biosynthesis protein 3","0","1","0",1
"CNAG_00395","chr1","1038038","1039781","1743","null","structure-specific endonuclease subunit SLX1","3","2","0",5
"CNAG_00396","chr1","1040370","1042329","1959","PKA1","AGC/PKA protein kinase","0","1","0",1
"CNAG_00397","chr1","1043270","1045035","1765","null","2-oxoisovalerate dehydrogenase E1 component, beta subunit","0","0","1",1
"CNAG_00398","chr1","1045238","1046318","1080","null","hypothetical protein CNAG_00398","0","2","0",2
"CNAG_00399","chr1","1047225","1048849","1624","null","transformer-2-beta isoform 3","1","0","0",1
"CNAG_00400","chr1","1050472","1051379","907","null","secondary thiamine-phosphate synthase enzyme","0","0","1",1
"CNAG_00401","chr1","1051433","1053159","1726","null","phosphatidylinositol glycan, class U","0","0","1",1
"CNAG_00402","chr1","1053739","1058486","4747","null","translation initiation factor 4G","1","0","1",2
"CNAG_00403","chr1","1059161","1060952","1791","null","mitochondrial protein","1","0","2",3
"CNAG_00404","chr1","1061805","1063875","2070","null","RING zinc finger protein","0","1","1",2
"CNAG_00405","chr1","1064036","1067169","3133","KIC1","STE/STE20/YSK protein kinase","2","0","3",5
"CNAG_00406","chr1","1067315","1070103","2788","null","hypothetical protein CNAG_00406","1","1","0",2
"CNAG_00407","chr1","1071048","1073410","2362","null","glyoxal oxidase","1","0","0",1
"CNAG_00409","chr1","1076718","1077969","1251","null","hypothetical protein CNAG_00409","0","1","0",1
"CNAG_00410","chr1","1078249","1081100","2851","null","hypothetical protein CNAG_00410","0","3","0",3
"CNAG_00413","chr1","1085131","1087389","2258","OFD1","nuclear protein","0","2","0",2
"CNAG_00417","chr1","1094549","1096292","1743","null","elongation factor 1-gamma","0","1","0",1
"CNAG_00421","chr1","1102100","1102999","899","null","charged multivesicular body protein 3","0","1","0",1
"CNAG_00422","chr1","1103304","1107204","3900","null","hypothetical protein CNAG_00422","1","0","0",1
"CNAG_00423","chr1","1108125","1109003","878","null","kinetochore protein Spc24, fungi type","0","1","0",1
"CNAG_00425","chr1","1111224","1112489","1265","null","hypothetical protein CNAG_00425","0","0","1",1
"CNAG_00426","chr1","1112743","1115306","2563","null","UBA/TS-N domain-containing protein","0","1","0",1
"CNAG_00466","chr1","1209299","1210069","770","null","adaptin ear-binding coat-associated protein 2","0","1","0",1
"CNAG_00474","chr1","1220031","1221105","1074","null","hypothetical protein CNAG_00474","1","0","0",1
"CNAG_00482","chr1","1241052","1242310","1258","null","26S proteasome regulatory subunit N10","0","1","0",1
"CNAG_00504","chr1","1287972","1289624","1652","null","peptidyl-prolyl cis-trans isomerase-like 4","0","0","1",1
"CNAG_00509","chr1","1300209","1301823","1614","null","translation initiation factor 3 subunit M","0","1","1",2
"CNAG_00512","chr1","1305539","1307282","1743","null","mitochondrial carrier protein","0","0","1",1
"CNAG_00520","chr1","1325020","1330280","5260","null","hypothetical protein CNAG_00520","0","2","0",2
"CNAG_00522","chr1","1333192","1336895","3703","null","C2 domain-containing protein","2","0","1",3
"CNAG_00527","chr1","1345836","1348215","2379","null","translation initiation factor eIF-2B subunit epsilon","1","0","0",1
"CNAG_00535","chr1","1365312","1366288","976","null","large subunit ribosomal protein L16","1","0","0",1
"CNAG_00536","chr1","1366906","1367539","633","null","hypothetical protein CNAG_00536","0","1","0",1
"CNAG_00539","chr1","1372146","1374367","2221","null","membrane transporter","1","2","0",3
"CNAG_00541","chr1","1380548","1382373","1825","null","dimethylaniline monooxygenase","0","1","1",2
"CNAG_00542","chr1","1383091","1384908","1817","null","salicylate hydroxylase","1","0","0",1
"CNAG_00543","chr1","1385674","1386516","842","null","hypothetical protein CNAG_00543","0","0","1",1
"CNAG_00544","chr1","1386636","1388404","1768","null","hypothetical protein CNAG_00544","0","1","0",1
"CNAG_00545","chr1","1389395","1396434","7039","null","cohesin loading factor subunit SCC2","0","0","1",1
"CNAG_00546","chr1","1397884","1402238","4354","CHS4","chitin synthase","1","0","0",1
"CNAG_00547","chr1","1402747","1406925","4178","null","hypothetical protein CNAG_00547","2","0","1",3
"CNAG_00550","chr1","1414393","1417894","3501","null","DNA mismatch repair protein MSH5","0","1","0",1
"CNAG_00551","chr1","1418394","1420854","2460","null","poly(A) polymerase","0","3","0",3
"CNAG_00556","chr1","1434372","1436338","1966","CCK1","CK1/CK1/CK1-G protein kinase","0","0","1",1
"CNAG_00559","chr1","1444617","1445704","1087","null","hypothetical protein CNAG_00559","1","0","1",2
"CNAG_00560","chr1","1446174","1447237","1063","null","V-type H -transporting ATPase subunit E","1","1","0",2
"CNAG_00563","chr1","1451540","1452544","1004","null","hypothetical protein CNAG_00563","1","0","0",1
"CNAG_00564","chr1","1453599","1455614","2015","null","hypothetical protein CNAG_00564","0","1","0",1
"CNAG_00567","chr1","1462858","1464368","1510","null","WD40 repeat protein","0","1","0",1
"CNAG_00570","chr1","1468943","1470619","1676","PKR1","cAMP-dependent protein kinase regulator","0","0","1",1
"CNAG_00571","chr1","1470961","1473455","2494","null","hypothetical protein CNAG_00571","0","1","0",1
"CNAG_00574","chr1","1479373","1482187","2814","null","amino acid/metabolite permease","0","7","0",7
"CNAG_00575","chr1","1483468","1486076","2608","CAT3","catalase","0","1","1",2
"CNAG_00580","chr1","1492251","1495182","2931","null","translation initiation factor IF-2","1","2","0",3
"CNAG_00582","chr1","1498614","1499574","960","null","vacuolar transporter chaperone 1","0","1","0",1
"CNAG_00583","chr1","1500279","1503651","3372","null","hypothetical protein CNAG_00583","1","0","0",1
"CNAG_00585","chr1","1506247","1507297","1050","null","hypothetical protein CNAG_00585","0","1","0",1
"CNAG_00586","chr1","1507859","1508397","538","null","hypothetical protein CNAG_00586","1","1","0",2
"CNAG_00587","chr1","1508885","1509614","729","null","hypothetical protein CNAG_00587","0","4","0",4
"CNAG_00588","chr1","1511997","1512725","728","null","hypothetical protein CNAG_00588","0","1","0",1
"CNAG_00591","chr1","1521073","1522449","1376","null","hypothetical protein CNAG_00591","1","0","0",1
"CNAG_00593","chr1","1524145","1525500","1355","null","hypothetical protein CNAG_00593","1","1","0",2
"CNAG_00594","chr1","1525900","1528108","2208","null","lipid particle protein","0","1","0",1
"CNAG_00595","chr1","1529446","1530958","1512","null","hypothetical protein CNAG_00595","1","0","0",1
"CNAG_00597","chr1","1534561","1536623","2062","DIP5","amino acid transporter","0","0","1",1
"CNAG_00598","chr1","1538820","1540760","1940","null","nicotinamide mononucleotide permease","0","1","0",1
"CNAG_00600","chr1","1544357","1546235","1878","CAP60","capsular associated protein","0","1","0",1
"CNAG_00601","chr1","1546728","1548198","1470","CEL1","glycosyl hydrolase","0","1","0",1
"CNAG_00603","chr1","1550413","1551496","1083","null","pre-rRNA-processing protein PNO1","1","0","0",1
"CNAG_00604","chr1","1551879","1553792","1913","null","hypothetical protein CNAG_00604","0","1","0",1
"CNAG_00606","chr1","1557138","1559655","2517","null","transcription initiation factor TFIID subunit 7","1","0","0",1
"CNAG_00607","chr1","1559765","1561587","1822","null","hypothetical protein CNAG_00607","0","1","0",1
"CNAG_00609","chr1","1562694","1566500","3806","null","hypothetical protein CNAG_00609","0","1","0",1
"CNAG_00613","chr1","1577213","1578041","828","FCY1","cytosine deaminase","0","1","0",1
"CNAG_00619","chr1","1582928","1584456","1528","null","tubulin folding cofactor C","0","0","1",1
"CNAG_00622","chr1","1594084","1595573","1489","ARG8","acetylornithine aminotransferase","1","0","1",2
"CNAG_00623","chr1","1595674","1598729","3055","EGCrP1","cytoplasmic protein","0","0","1",1
"CNAG_00625","chr1","1600864","1606646","5782","null","ARF guanyl-nucleotide exchange factor","0","0","2",2
"CNAG_00627","chr1","1609523","1611827","2304","null","specific transcriptional repressor","1","0","0",1
"CNAG_00632","chr1","1632780","1633611","831","null","hypothetical protein CNAG_00632","1","0","0",1
"CNAG_00633","chr1","1633888","1638454","4566","null","hypothetical protein CNAG_00633","1","0","0",1
"CNAG_00635","chr1","1641789","1646163","4374","null","cytoplasmic protein","1","0","1",2
"CNAG_00640","chr1","1656588","1657697","1109","null","small subunit ribosomal protein S4-A","0","1","0",1
"CNAG_00641","chr1","1658271","1662312","4041","null","transcription elongation factor SPT5","0","0","1",1
"CNAG_00642","chr1","1664119","1675519","11400","null","hypothetical protein CNAG_00642","1","1","0",2
"CNAG_00643","chr1","1675864","1678772","2908","null","hypothetical protein CNAG_00643","1","0","1",2
"CNAG_00644","chr1","1679062","1680485","1423","null","sphingolipid delta-4 desaturase","1","0","1",2
"CNAG_00647","chr1","1685760","1686256","496","null","hypothetical protein CNAG_00647","0","1","0",1
"CNAG_00649","chr1","1688094","1690677","2583","null","tryptophan synthase, beta subunit","0","3","0",3
"CNAG_00651","chr1","1694356","1697782","3426","null","ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein","0","0","2",2
"CNAG_00653","chr1","1701095","1704056","2961","null","hypothetical protein CNAG_00653","0","3","0",3
"CNAG_00654","chr1","1705239","1705730","491","SRX1","sulfiredoxin","0","1","0",1
"CNAG_00657","chr1","1708978","1709762","784","null","hypothetical protein CNAG_00657","1","0","0",1
"CNAG_00658","chr1","1710449","1712659","2210","null","hypothetical protein CNAG_00658","0","1","0",1
"CNAG_00660","chr1","1713340","1716027","2687","null","histone deacetylase HOS3","1","0","0",1
"CNAG_00662","chr1","1718893","1720152","1259","null","carboxymethylenebutenolidase","0","4","0",4
"CNAG_00663","chr1","1720880","1722400","1520","null","hypothetical protein CNAG_00663","0","0","2",2
"CNAG_00664","chr1","1723252","1725606","2354","null","hypothetical protein CNAG_00664","19","0","9",28
"CNAG_00665","chr1","1725974","1728798","2824","null","DNA topoisomerase 2-associated protein PAT1","0","3","2",5
"CNAG_00666","chr1","1729589","1734337","4748","null","nucleoporin nsp1","2","0","0",2
"CNAG_00667","chr1","1734797","1736980","2183","null","hypothetical protein CNAG_00667","1","0","0",1
"CNAG_00669","chr1","1740515","1741269","754","null","hypothetical protein CNAG_00669","1","1","0",2
"CNAG_00671","chr1","1743982","1746660","2678","null","cytoplasmic protein","1","1","0",2
"CNAG_00674","chr1","1750408","1752237","1829","null","hypothetical protein CNAG_00674","1","0","0",1
"CNAG_00678","chr1","1762205","1763515","1310","URE7","urease accessory protein UreG","0","1","0",1
"CNAG_00682","chr1","1772139","1778248","6109","null","kinesin","1","0","0",1
"CNAG_00683","chr1","1779417","1782113","2696","null","CMGC/CLK protein kinase","1","0","0",1
"CNAG_00687","chr1","1788072","1792772","4700","null","hypothetical protein CNAG_00687","2","0","0",2
"CNAG_00688","chr1","1792919","1793738","819","null","hypothetical protein CNAG_00688","0","1","0",1
"CNAG_00696","chr1","1811919","1816687","4768","null","alpha-mannosidase","1","0","0",1
"CNAG_00698","chr1","1819918","1822366","2448","null","hypothetical protein CNAG_00698","0","1","0",1
"CNAG_00699","chr1","1822784","1827321","4537","null","transmembrane receptor","0","1","0",1
"CNAG_00703","chr1","1839818","1840750","932","null","large subunit ribosomal protein L31e","0","1","0",1
"CNAG_00707","chr1","1850044","1851083","1039","null","protein SYM1","0","1","0",1
"CNAG_00713","chr1","1862292","1863976","1684","null","V-type H -transporting ATPase 54 kDa subunit","0","0","1",1
"CNAG_00714","chr1","1864230","1865426","1196","null","hypothetical protein CNAG_00714","1","0","0",1
"CNAG_00715","chr1","1866026","1866468","442","null","hypothetical protein CNAG_00715","0","2","0",2
"CNAG_00716","chr1","1866813","1867660","847","null","cytochrome c","0","1","0",1
"CNAG_00730","chr1","1901529","1907595","6066","AFR1","ATP-binding cassette transporter","1","0","0",1
"CNAG_00732","chr1","1909284","1910521","1237","null","hypothetical protein CNAG_00732","1","1","0",2
"CNAG_00736","chr1","1922249","1925599","3350","null","exocyst protein","1","0","1",2
"CNAG_00745","chr1","1953608","1957242","3634","HRK1","HAL protein kinase","0","1","0",1
"CNAG_00748","chr1","1962552","1963949","1397","null","hypothetical protein CNAG_00748","1","2","0",3
"CNAG_00753","chr1","1974597","1977345","2748","null","hypothetical protein CNAG_00753","2","0","0",2
"CNAG_00754","chr1","1977648","1979859","2211","null","ATP-binding cassette, sub-family E, member 1","0","2","0",2
"CNAG_00757","chr1","1984123","1988735","4612","DOA4","ubiquitin carboxyl-terminal hydrolase 8","0","0","2",2
"CNAG_00758","chr1","1991621","1995118","3497","null","regulatory protein ral2","1","0","0",1
"CNAG_00759","chr1","1995540","1997246","1706","null","hypothetical protein CNAG_00759","1","0","0",1
"CNAG_00765","chr1","2008525","2009452","927","null","hypothetical protein CNAG_00765","1","0","0",1
"CNAG_00768","chr1","2016264","2017451","1187","null","hypothetical protein CNAG_00768","0","2","0",2
"CNAG_00769","chr1","2018003","2020204","2201","PBS2","STE/STE7 protein kinase","0","1","0",1
"CNAG_00770","chr1","2021389","2025285","3896","null","DNA mismatch repair protein MSH2","0","0","1",1
"CNAG_00774","chr1","2031278","2033154","1876","null","phosphoglycerate dehydrogenase","0","1","0",1
"CNAG_00775","chr1","2033870","2035556","1686","null","U3 small nucleolar RNA-associated protein 15","1","0","0",1
"CNAG_00777","chr1","2040201","2045595","5394","null","CCR4-NOT transcriptional complex subunit CAF120","0","0","1",1
"CNAG_00782","chr1","2056818","2059656","2838","null","STE/STE20/Fray protein kinase","0","0","1",1
"CNAG_00783","chr1","2060189","2061628","1439","null","hypothetical protein CNAG_00783","0","1","0",1
"CNAG_00785","chr1","2063601","2065325","1724","null","ATP-dependent RNA helicase eIF4A","1","0","0",1
"CNAG_00789","chr1","2076571","2077687","1116","null","hypothetical protein CNAG_00789","0","1","0",1
"CNAG_00791","chr1","2081273","2082633","1360","null","hypothetical protein CNAG_00791","0","2","0",2
"CNAG_00792","chr1","2087805","2094531","6726","null","ATP-binding cassette transporter","1","1","0",2
"CNAG_00793","chr1","2094929","2096130","1201","null","DNA-directed RNA polymerase I, II, and III subunit RPABC1","0","3","1",4
"CNAG_00796","chr1","2101462","2106512","5050","MDR1","ATP-binding cassette, subfamily B (MDR/TAP), member 1","0","0","1",1
"CNAG_00797","chr1","2108173","2110606","2433","null","acetyl-CoA synthetase","0","0","1",1
"CNAG_00800","chr1","2118415","2119369","954","null","nicotinamidase","0","2","0",2
"CNAG_00805","chr1","2128994","2131387","2393","null","hypothetical protein CNAG_00805","1","4","0",5
"CNAG_00806","chr1","2131721","2132489","768","null","hypothetical protein CNAG_00806","1","0","0",1
"CNAG_00823","chr1","2179310","2185060","5750","null","cadmium ion transporter","1","0","0",1
"CNAG_00829","chr1","2200171","2201246","1075","null","E3 ubiquitin ligase complex SCF subunit sconC","1","0","0",1
"CNAG_00849","chr1","2250127","2250626","499","null","hypothetical protein CNAG_00849","0","1","0",1
"CNAG_00850","chr1","2251267","2252869","1602","null","plant-inducible protein","0","1","0",1
"CNAG_00851","chr1","2253124","2254143","1019","null","hypothetical protein CNAG_00851","0","1","0",1
"CNAG_00853","chr1","2256869","2258266","1397","null","exosome complex component RRP43","0","0","1",1
"CNAG_00854","chr1","2258878","2259890","1012","ERG2","C-8 sterol isomerase","0","6","0",6
"CNAG_00855","chr1","2260511","2263902","3391","null","ligase","0","0","1",1
"CNAG_00864","chr5","1793803","1795826","2023","ITR2","MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13","0","1","0",1
"CNAG_00865","chr5","1790357","1791427","1070","CAS92","maltose O-acetyltransferase","0","1","0",1
"CNAG_00869","chr5","1775551","1780923","5372","PDR5","ATP-binding cassette transporter","0","1","1",2
"CNAG_00870","chr5","1771379","1772152","773","null","hypothetical protein CNAG_00870","0","1","0",1
"CNAG_00871","chr5","1767017","1768854","1837","null","hypothetical protein CNAG_00871","0","1","0",1
"CNAG_00872","chr5","1761351","1765145","3794","null","ATP-dependent DNA helicase","2","1","0",3
"CNAG_00890","chr5","1714010","1716778","2768","null","hypothetical protein CNAG_00890","0","1","0",1
"CNAG_00894","chr5","1705377","1705847","470","null","hypothetical protein CNAG_00894","0","1","0",1
"CNAG_00895","chr5","1701697","1703029","1332","ZIP1","solute carrier family 39 (zinc transporter), member 1/2/3","0","1","0",1
"CNAG_00903","chr5","1676877","1677636","759","null","hypothetical protein CNAG_00903","0","1","0",1
"CNAG_00908","chr5","1660563","1661540","977","null","hypothetical protein CNAG_00908","0","0","2",2
"CNAG_00914","chr5","1642229","1644317","2088","KRE6","glucosidase","0","1","0",1
"CNAG_00915","chr5","1639675","1640862","1187","null","hypothetical protein CNAG_00915","1","0","0",1
"CNAG_00917","chr5","1634277","1636601","2324","null","alkylbase DNA N-glycosylase","1","0","0",1
"CNAG_00927","chr5","1610777","1612244","1467","null","guanyl nucleotide binding protein","0","1","0",1
"CNAG_00936","chr5","1591428","1593816","2388","null","lipid particle protein","1","2","1",4
"CNAG_00938","chr5","1587848","1588748","900","null","hypothetical protein CNAG_00938","0","1","0",1
"CNAG_00940","chr5","1581510","1585029","3519","RRP44","exosome complex exonuclease DIS3/RRP44","0","2","0",2
"CNAG_00941","chr5","1580221","1580739","518","null","hypothetical protein CNAG_00941","0","1","0",1
"CNAG_00961","chr5","1553461","1554897","1436","null","hypothetical protein CNAG_00961","0","1","0",1
"CNAG_00968","chr5","1540456","1541665","1209","null","hypothetical protein CNAG_00968","0","0","1",1
"CNAG_00971","chr5","1532590","1535021","2431","null","vacuolar fusion protein MON1","0","1","0",1
"CNAG_00974","chr5","1528319","1529289","970","null","beta-lactamase","1","0","0",1
"CNAG_00977","chr5","1520873","1522784","1911","null","VHS domain-containing protein","0","0","1",1
"CNAG_00978","chr5","1519054","1520492","1438","null","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9","0","2","0",2
"CNAG_00979","chr5","1517917","1518715","798","CTR4","solute carrier family 31 (copper transporter), member 1","0","2","0",2
"CNAG_00982","chr5","1511379","1512466","1087","null","hypothetical protein CNAG_00982","1","0","0",1
"CNAG_00986","chr5","1502917","1504479","1562","UBA4","adenylyltransferase and sulfurtransferase","0","1","0",1
"CNAG_00987","chr5","1501726","1502669","943","null","prefoldin subunit","0","1","0",1
"CNAG_00988","chr5","1495524","1498482","2958","null","importin subunit beta-1","0","1","0",1
"CNAG_00989","chr5","1493795","1495134","1339","UCH2","ubiquitin carboxyl-terminal hydrolase L5","0","1","0",1
"CNAG_00992","chr5","1488718","1490613","1895","null","homocitrate synthase, mitochondrial","0","0","1",1
"CNAG_00998","chr5","1473831","1478759","4928","null","hypothetical protein CNAG_00998","1","4","0",5
"CNAG_01001","chr5","1464356","1466496","2140","null","hypothetical protein CNAG_01001","0","1","0",1
