"","chrom","chromStart","chromEnd","Strand","name","length","description","alias"
"47","chr1",130356,132334,"-","CNAG_00043",635,"hypothetical protein CNAG_00043","null"
"48","chr1",132596,136282,"+","CNAG_00044",1115,"ribosome assembly protein 1","null"
"49","chr1",136430,137824,"-","CNAG_00045",419,"hypothetical protein CNAG_00045","null"
"50","chr1",138102,139471,"+","CNAG_00046",350,"26S proteasome regulatory subunit N8","null"
"51","chr1",139704,141787,"-","CNAG_00047",456,"pyruvate dehydrogenase kinase","PKP1"
"52","chr1",142313,144363,"-","CNAG_00048",546,"sugar transporter","null"
"53","chr1",145392,146712,"+","CNAG_00049",325,"hypothetical protein CNAG_00049","null"
"54","chr1",146828,147999,"-","CNAG_00050",301,"hypothetical protein CNAG_00050","null"
"55","chr1",148617,153700,"-","CNAG_00051",1639,"hypothetical protein CNAG_00051","SNT1"
"56","chr1",154389,154832,"+","CNAG_00052",94,"hypothetical protein CNAG_00052","null"
"57","chr1",155313,156087,"+","CNAG_00053",175,"hypothetical protein CNAG_00053","null"
"58","chr1",156291,157146,"-","CNAG_00054",235,"hypothetical protein CNAG_00054","null"
"59","chr1",157520,158796,"+","CNAG_00055",388,"hypothetical protein CNAG_00055","null"
"60","chr1",159196,161332,"+","CNAG_00056",674,"hypothetical protein CNAG_00056","null"
"61","chr1",161783,163128,"-","CNAG_00057",350,"fructose-1,6-bisphosphatase I","null"
"62","chr1",163462,166147,"-","CNAG_00058",548,"T-complex protein 1 subunit epsilon","null"
"63","chr1",166436,167376,"+","CNAG_00059",263,"hypothetical protein CNAG_00059","null"
"64","chr1",167479,169005,"-","CNAG_00060",401,"chaperone regulator","null"
"65","chr1",169310,170984,"+","CNAG_00061",464,"citrate synthase, mitochondrial","CIT1"
"66","chr1",172282,174201,"-","CNAG_00062",530,"26S proteasome regulatory subunit N3","null"
"67","chr1",174725,175649,"+","CNAG_00063",159,"histone H3","null"
"68","chr1",176043,177035,"-","CNAG_00064",198,"COPII-coated vesicle protein","null"
"69","chr1",177527,178845,"+","CNAG_00065",238,"ran-binding protein 1","null"
"70","chr1",179414,183359,"-","CNAG_00066",1284,"membrane protein","null"
"71","chr1",184125,184932,"+","CNAG_00067",70,"protein translocase SEC61 complex gamma subunit","SSS1"
"72","chr1",189541,192076,"+","CNAG_00068",602,"specific RNA polymerase II transcription factor","null"
"73","chr1",192776,193729,"+","CNAG_00069",317,"hypothetical protein CNAG_00069","null"
"74","chr1",195355,197337,"+","CNAG_00070",620,"hypothetical protein CNAG_00070","null"
"75","chr1",199238,201107,"+","CNAG_00072",411,"protein disulfide-isomerase","null"
"76","chr1",201593,204477,"-","CNAG_00073",856,"nuclear mRNA splicing protein","null"
"77","chr1",205680,208220,"+","CNAG_00074",551,"protein PNS1","null"
"78","chr1",208635,209249,"-","CNAG_00075",157,"hypothetical protein CNAG_00075","null"
"79","chr1",209617,211921,"+","CNAG_00076",571,"A/G-specific adenine glycosylase","null"
"81","chr1",213664,216292,"+","CNAG_00077",821,"solute carrier family 26 (sodium-independent sulfate anion transporter), member 11","null"
"82","chr1",217128,221286,"+","CNAG_00078",1177,"vacuolar protein","null"
"83","chr1",223667,224474,"+","CNAG_00079",252,"hypothetical protein CNAG_00079","null"
"84","chr1",225551,227173,"-","CNAG_00080",484,"hypothetical protein CNAG_00080","null"
"85","chr1",227666,230931,"-","CNAG_00081",942,"pre-mRNA-processing factor 6","null"
"86","chr1",231172,232271,"+","CNAG_00082",331,"cytosolic Fe-S cluster assembly factor CFD1","null"
"87","chr1",232495,235528,"-","CNAG_00083",976,"hypothetical protein CNAG_00083","null"
"88","chr1",236469,239638,"+","CNAG_00084",858,"glutamine-tRNA ligase","null"
"89","chr1",239847,240801,"-","CNAG_00085",208,"histone chaperone ASF1","null"
"90","chr1",241070,243341,"+","CNAG_00086",688,"N2,N2-dimethylguanosine tRNA methyltransferase","null"
"91","chr1",243899,246004,"-","CNAG_00087",682,"hypothetical protein CNAG_00087","null"
"92","chr1",246560,247967,"-","CNAG_00088",274,"prohibitin PHB1","null"
"93","chr1",248275,249563,"-","CNAG_00089",331,"exosome complex component RRP4","null"
"94","chr1",249912,251676,"+","CNAG_00090",421,"hypothetical protein CNAG_00090","null"
"95","chr1",253478,255301,"+","CNAG_00091",534,"hypothetical protein CNAG_00091","null"
"96","chr1",256069,256590,"+","CNAG_00092",117,"mitochondrial protein","null"
"97","chr1",256916,259695,"-","CNAG_00093",746,"hypothetical protein CNAG_00093","null"
"98","chr1",261285,262588,"+","CNAG_00094",359,"NAD-dependent epimerase/dehydratase","null"
"99","chr1",262739,266546,"-","CNAG_00095",1165,"hypothetical protein CNAG_00095","null"
"100","chr1",266961,268587,"+","CNAG_00096",521,"hypothetical protein CNAG_00096","null"
"101","chr1",268906,271370,"-","CNAG_00097",567,"MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13","ITR1"
"102","chr1",273829,275038,"+","CNAG_00098",329,"palmitoyl-protein thioesterase","null"
"103","chr1",275157,278008,"-","CNAG_00099",856,"minichromosome maintenance protein 3","null"
"104","chr1",278264,280321,"+","CNAG_00100",584,"stress-induced-phosphoprotein 1","null"
"105","chr1",280893,281839,"-","CNAG_00101",267,"hypothetical protein CNAG_00101","null"
"108","chr1",285901,289440,"+","CNAG_00104",1100,"elongation factor 3","null"
"109","chr1",289772,291138,"-","CNAG_00105",286,"pyridoxal reductase","null"
"110","chr1",292159,296404,"-","CNAG_00106",1213,"two-component system sensor protein","TCO5"
"111","chr1",297451,299293,"+","CNAG_00107",556,"hypothetical protein CNAG_00107","null"
"112","chr1",299388,300947,"-","CNAG_00108",484,"RuvB-like helicase 1","null"
"113","chr1",301258,301647,"+","CNAG_00109",129,"large subunit ribosomal protein L34","null"
"114","chr1",301890,304135,"-","CNAG_00110",648,"hypothetical protein CNAG_00110","null"
"115","chr1",304331,306761,"+","CNAG_00111",761,"splicing factor 3A subunit 1","null"
"118","chr1",312397,313780,"-","CNAG_00115",379,"chlorophyll synthesis pathway protein BchC","null"
"119","chr1",315063,315998,"+","CNAG_00116",252,"small subunit ribosomal protein S3","null"
"120","chr1",316825,318851,"-","CNAG_00117",459,"delta14-sterol reductase","ERG24"
"121","chr1",319109,319753,"-","CNAG_00118",160,"hypothetical protein CNAG_00118","null"
"122","chr1",319922,320592,"+","CNAG_00119",183,"hypothetical protein CNAG_00119","null"
"123","chr1",320757,321743,"-","CNAG_00120",278,"hypothetical protein CNAG_00120","null"
"124","chr1",322145,323820,"-","CNAG_00121",344,"glycerol-3-phosphate dehydrogenase (NAD())","null"
"125","chr1",324829,326898,"-","CNAG_00122",561,"alpha-amylase","null"
"126","chr1",329030,330136,"-","CNAG_00123",303,"hypothetical protein CNAG_00123","null"
"127","chr1",330810,332816,"+","CNAG_00124",551,"hypothetical protein CNAG_00124","CAS32"
"128","chr1",335372,337716,"+","CNAG_00125",640,"hypothetical protein CNAG_00125","CRG1"
"129","chr1",338239,339303,"-","CNAG_00126",275,"2-deoxy-D-gluconate 3-dehydrogenase","null"
"131","chr1",341632,343375,"-","CNAG_00127",481,"hypothetical protein CNAG_00127","null"
"132","chr1",345835,349644,"+","CNAG_00128",1058,"hypothetical protein CNAG_00128","null"
"133","chr1",350879,352471,"+","CNAG_00129",440,"hypothetical protein CNAG_00129","null"
"134","chr1",354645,357920,"+","CNAG_00130",618,"CAMK/CAMK1/CAMK1-RCK protein kinase","RCK2"
"135","chr1",358451,360205,"+","CNAG_00131",337,"alcohol dehydrogenase","null"
"136","chr1",360605,362888,"-","CNAG_00132",715,"hypothetical protein CNAG_00132","null"
"137","chr1",364008,364781,"+","CNAG_00133",127,"hypothetical protein CNAG_00133","null"
"138","chr1",365087,367684,"-","CNAG_00134",758,"hypothetical protein CNAG_00134","null"
"139","chr1",367934,368463,"+","CNAG_00135",137,"cyclophilin","null"
"140","chr1",368615,372320,"-","CNAG_00136",1015,"ubiquitin-activating enzyme E1","null"
"141","chr1",372877,374191,"-","CNAG_00137",323,"hypothetical protein CNAG_00137","null"
"142","chr1",374563,375759,"+","CNAG_00138",323,"ubiquinone biosynthesis methyltransferase","null"
"143","chr1",376482,377931,"-","CNAG_00139",285,"hypothetical protein CNAG_00139","null"
"144","chr1",379229,380739,"-","CNAG_00140",435,"U1 small nuclear ribonucleoprotein 70kDa","null"
"145","chr1",381091,382597,"+","CNAG_00141",442,"monooxygenase","null"
"146","chr1",383256,385933,"+","CNAG_00142",799,"hypothetical protein CNAG_00142","null"
"147","chr1",386986,389134,"+","CNAG_00143",647,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","null"
"148","chr1",389309,390317,"-","CNAG_00144",264,"hypothetical protein CNAG_00144","null"
"149","chr1",390828,392250,"+","CNAG_00145",377,"actin-2","null"
"150","chr1",392383,394078,"-","CNAG_00146",383,"5\'/3\'-nucleotidase SurE","null"
"151","chr1",394476,402702,"+","CNAG_00147",2531,"pre-mRNA-processing-splicing factor 8","null"
"152","chr1",403089,409446,"+","CNAG_00148",1998,"hypothetical protein CNAG_00148","null"
"153","chr1",410587,411283,"+","CNAG_00149",93,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4","null"
"154","chr1",411943,415150,"+","CNAG_00150",951,"peptidase","null"
"155","chr1",415523,418296,"+","CNAG_00151",822,"transcription elongation regulator 1","null"
"156","chr1",418482,420087,"-","CNAG_00152",431,"hypothetical protein CNAG_00152","null"
"157","chr1",420364,422049,"+","CNAG_00153",510,"hypothetical protein CNAG_00153","null"
"158","chr1",422287,424170,"-","CNAG_00154",459,"oxidoreductase","null"
"159","chr1",425086,425834,"-","CNAG_00155",225,"hypothetical protein CNAG_00155","null"
"160","chr1",427608,431302,"-","CNAG_00156",1094,"hypothetical protein CNAG_00156","SP1"
"161","chr1",432456,432911,"+","CNAG_00157",82,"hypothetical protein CNAG_00157","null"
"162","chr1",433036,435353,"-","CNAG_00158",641,"glycosyltransferase","null"
"163","chr1",435868,436123,"+","CNAG_00159",67,"hypothetical protein CNAG_00159","null"
"164","chr1",436421,437840,"+","CNAG_00160",439,"hypothetical protein CNAG_00160","null"
"165","chr1",437991,439360,"-","CNAG_00161",330,"auxin-induced protein","null"
"166","chr1",439854,441268,"-","CNAG_00162",401,"alternative oxidase, mitochondrial","AOX1"
"167","chr1",442897,446300,"-","CNAG_00163",817,"general transcription factor 3C polypeptide 4","null"
"168","chr1",447026,448723,"-","CNAG_00164",472,"hypothetical protein CNAG_00164","null"
"169","chr1",450185,451450,"-","CNAG_00165",331,"methylthioadenosine phosphorylase","null"
"170","chr1",452494,454578,"-","CNAG_00166",619,"ATP-dependent RNA helicase DBP8","null"
"171","chr1",454912,457078,"+","CNAG_00167",685,"hypothetical protein CNAG_00167","null"
"174","chr1",463029,464438,"+","CNAG_00171",419,"peroxin-2","null"
"175","chr1",465163,468612,"+","CNAG_00172",1064,"kinesin","null"
"176","chr1",468928,470217,"+","CNAG_00173",390,"hypothetical protein CNAG_00173","null"
"177","chr1",470392,474300,"-","CNAG_00174",1225,"hypothetical protein CNAG_00174","null"
"178","chr1",474659,476107,"+","CNAG_00175",445,"hypothetical protein CNAG_00175","null"
"179","chr1",476246,478539,"-","CNAG_00176",476,"glutamate carboxypeptidase","null"
"180","chr1",478898,480910,"+","CNAG_00177",530,"hypothetical protein CNAG_00177","null"
"181","chr1",481142,485162,"-","CNAG_00178",1254,"DNA repair protein REV1","null"
"182","chr1",488572,489943,"+","CNAG_00179",352,"guanine nucleotide-binding protein subunit alpha","GPA2"
"183","chr1",490541,491623,"+","CNAG_00180",238,"ubiquitin carboxyl-terminal hydrolase L3","null"
"184","chr1",491751,493761,"-","CNAG_00181",505,"macrophage erythroblast attacher isoform 1","FYV10"
"185","chr1",494040,494963,"+","CNAG_00182",203,"retrograde transporter","null"
"186","chr1",497481,498775,"-","CNAG_00183",391,"alternative cyclin Pcl12","null"
"187","chr1",502541,504591,"+","CNAG_00184",611,"pre-mRNA cleavage complex 2 protein Pcf11","null"
"188","chr1",504963,506272,"+","CNAG_00185",365,"hypothetical protein CNAG_00185","null"
"189","chr1",506415,506813,"-","CNAG_00186",72,"mitotic spindle organizing protein 1","null"
"190","chr1",507083,509382,"+","CNAG_00187",707,"ubiquitin carboxyl-terminal hydrolase 1","UBP16"
"191","chr1",509423,510478,"-","CNAG_00188",228,"endoplasmic reticulum protein","null"
"192","chr1",510723,512047,"+","CNAG_00189",325,"hypothetical protein CNAG_00189","null"
"193","chr1",512338,514159,"+","CNAG_00190",545,"hypothetical protein CNAG_00190","null"
"194","chr1",514802,516443,"+","CNAG_00191",433,"etoposide-induced protein","null"
"195","chr1",517793,521395,"+","CNAG_00192",1068,"hypothetical protein CNAG_00192","null"
"196","chr1",521956,525942,"-","CNAG_00193",1277,"GATA type zinc finger protein asd-4","GAT1"
"197","chr1",528522,529360,"+","CNAG_00194",244,"hypothetical protein CNAG_00194","null"
"198","chr1",529578,530364,"-","CNAG_00195",208,"exosome complex protein LRP1","null"
"230","chr1",607986,608622,"+","CNAG_00229",186,"hypothetical protein CNAG_00229","null"
"234","chr1",610159,611736,"+","CNAG_00231",427,"hypothetical protein CNAG_00231","null"
"235","chr1",611844,612502,"-","CNAG_00232",113,"large subunit ribosomal protein L30e","RPL30"
"236","chr1",612814,613363,"+","CNAG_00233",103,"chaperone protein","null"
"237","chr1",613927,615256,"+","CNAG_00234",408,"tRNA-dihydrouridine synthase 4","null"
"238","chr1",615351,617537,"-","CNAG_00235",574,"amt family ammonium transporter","AMT1"
"239","chr1",618337,619853,"+","CNAG_00236",447,"8-amino-7-oxononanoate synthase","null"
"240","chr1",620671,623182,"+","CNAG_00237",763,"3-isopropylmalate dehydratase, large subunit","null"
"241","chr1",623941,627603,"+","CNAG_00238",1094,"isoleucine-tRNA ligase","null"
"242","chr1",628128,630490,"-","CNAG_00239",700,"hypothetical protein CNAG_00239","null"
"243","chr1",630798,634045,"+","CNAG_00240",1029,"hypothetical protein CNAG_00240","null"
"244","chr1",635045,637248,"+","CNAG_00241",653,"protein AIR1/2","null"
"245","chr1",637774,638809,"-","CNAG_00242",186,"hypothetical protein CNAG_00242","null"
"246","chr1",640335,640993,"-","CNAG_00243",201,"hypothetical protein CNAG_00243","null"
"248","chr1",646592,648720,"-","CNAG_00246",692,"hypothetical protein CNAG_00246","null"
"249","chr1",648995,652610,"+","CNAG_00247",944,"alpha-aminoadipic semialdehyde synthase","LYS9"
"250","chr1",652766,654584,"-","CNAG_00248",549,"ESCRT-II complex subunit VPS36","null"
"251","chr1",655548,657065,"+","CNAG_00249",438,"hypothetical protein CNAG_00249","null"
"252","chr1",657979,659568,"+","CNAG_00250",440,"hypothetical protein CNAG_00250","null"
"253","chr1",660118,661320,"+","CNAG_00251",249,"hypothetical protein CNAG_00251","null"
"254","chr1",661468,661997,"-","CNAG_00252",113,"transcription elongation factor B, polypeptide 1","null"
"255","chr1",662258,665273,"+","CNAG_00253",786,"hypothetical protein CNAG_00253","null"
"256","chr1",665714,667273,"+","CNAG_00254",375,"NADH dehydrogenase","null"
"257","chr1",667625,668043,"-","CNAG_00255",111,"hypothetical protein CNAG_00255","null"
"258","chr1",668235,669452,"+","CNAG_00256",367,"aspartate-semialdehyde dehydrogenase","null"
"259","chr1",669541,675329,"-","CNAG_00257",1710,"kinesin family member 21A","null"
"260","chr1",676394,680311,"-","CNAG_00258",1129,"hypothetical protein CNAG_00258","null"
"261","chr1",680785,681850,"+","CNAG_00259",287,"bud site selection protein","null"
"262","chr1",682650,683925,"-","CNAG_00260",285,"transformer-2 protein","null"
"263","chr1",686924,687730,"+","CNAG_00261",201,"hypothetical protein CNAG_00261","null"
"264","chr1",688047,688673,"-","CNAG_00262",168,"hypothetical protein CNAG_00262","null"
"265","chr1",689599,690700,"-","CNAG_00263",240,"serine/threonine/tyrosine-interacting protein","null"
"266","chr1",691871,693330,"-","CNAG_00264",392,"nuclease I","null"
"267","chr1",693999,695019,"+","CNAG_00265",265,"isopentenyl-diphosphate delta-isomerase","IDI1"
"268","chr1",695165,696194,"-","CNAG_00266",265,"hypothetical protein CNAG_00266","null"
"269","chr1",696435,698233,"+","CNAG_00267",505,"hypothetical protein CNAG_00267","null"
"270","chr1",698543,700957,"-","CNAG_00268",718,"acetolactate synthase, mitochondrial","ILV2"
"271","chr1",701903,703626,"+","CNAG_00269",416,"sorbitol dehydrogenase","null"
"272","chr1",704213,705013,"+","CNAG_00270",130,"mitochondrial protein","null"
"273","chr1",705111,706064,"-","CNAG_00271",252,"INO80 complex subunit C","null"
"274","chr1",706673,712842,"+","CNAG_00272",1730,"hypothetical protein CNAG_00272","null"
"275","chr1",712940,713565,"-","CNAG_00273",168,"hypothetical protein CNAG_00273","null"
"276","chr1",713824,716143,"+","CNAG_00274",614,"hypothetical protein CNAG_00274","null"
"277","chr1",716304,717488,"-","CNAG_00275",317,"hypothetical protein CNAG_00275","null"
"278","chr1",717809,718990,"+","CNAG_00276",244,"hypothetical protein CNAG_00276","null"
"279","chr1",719572,720466,"+","CNAG_00277",202,"hypothetical protein CNAG_00277","null"
"280","chr1",720563,721878,"-","CNAG_00278",324,"methionine aminopeptidase, type I","null"
"281","chr1",722186,723138,"+","CNAG_00279",250,"hypothetical protein CNAG_00279","null"
"282","chr1",724001,725083,"+","CNAG_00280",267,"complement component 1 Q subcomponent-binding protein, mitochondrial","null"
"286","chr1",730994,732649,"-","CNAG_00283",474,"hypothetical protein CNAG_00283","null"
"287","chr1",733024,735227,"+","CNAG_00284",546,"efflux protein EncT","null"
"288","chr1",735435,740002,"-","CNAG_00285",1222,"hypothetical protein CNAG_00285","null"
"289","chr1",741675,743653,"-","CNAG_00286",539,"hypothetical protein CNAG_00286","NAB2"
"290","chr1",744185,745488,"+","CNAG_00287",338,"cytoplasmic protein","null"
"291","chr1",745984,746917,"+","CNAG_00288",214,"oligoribonuclease","null"
"292","chr1",746989,747970,"-","CNAG_00289",222,"hypothetical protein CNAG_00289","null"
"293","chr1",748417,750202,"+","CNAG_00290",516,"aminopeptidase","null"
"294","chr1",750953,752464,"+","CNAG_00291",393,"hypothetical protein CNAG_00291","null"
"295","chr1",753054,754846,"+","CNAG_00292",524,"zinc finger protein","null"
"296","chr1",755486,756862,"-","CNAG_00293",216,"Ras-like protein","RAS1"
"297","chr1",757285,759432,"+","CNAG_00294",627,"splicing factor 45","null"
"298","chr1",759607,760638,"-","CNAG_00295",343,"hypothetical protein CNAG_00295","null"
"302","chr1",767478,771929,"+","CNAG_00299",1202,"DNA repair protein RAD5","null"
"303","chr1",772002,775338,"-","CNAG_00300",911,"gamma-tubulin complex component 2","null"
"304","chr1",775999,777030,"+","CNAG_00301",272,"hypothetical protein CNAG_00301","null"
"305","chr1",778009,778781,"+","CNAG_00302",230,"hypothetical protein CNAG_00302","null"
"306","chr1",778974,781458,"-","CNAG_00303",548,"high-affinity nicotinic acid transporter","null"
"307","chr1",782652,783242,"-","CNAG_00304",157,"hypothetical protein CNAG_00304","null"
"308","chr1",783457,784960,"+","CNAG_00305",394,"chaperone activator","null"
"310","chr1",787948,789086,"+","CNAG_00306",183,"hypothetical protein CNAG_00306","null"
"311","chr1",789725,790106,"-","CNAG_00307",52,"hypothetical protein CNAG_00307","null"
"312","chr1",790860,792851,"-","CNAG_00308",573,"gly-X carboxypeptidase","null"
"313","chr1",793093,796917,"+","CNAG_00309",923,"membrane protein","null"
"314","chr1",797268,799004,"+","CNAG_00310",513,"origin recognition complex subunit 5","null"
"315","chr1",799072,800928,"-","CNAG_00311",516,"3-hydroxyisobutyryl-CoA hydrolase","null"
"316","chr1",801835,802825,"+","CNAG_00312",241,"synaptobrevin","null"
"317","chr1",803371,806503,"+","CNAG_00313",867,"hypothetical protein CNAG_00313","null"
"318","chr1",806627,808079,"-","CNAG_00314",384,"hypothetical protein CNAG_00314","null"
"319","chr1",809535,810331,"+","CNAG_00315",224,"HHE domain-containing protein","null"
"321","chr1",812214,813003,"-","CNAG_00316",189,"RdgB/HAM1 family non-canonical purine NTP pyrophosphatase","null"
"322","chr1",814371,815945,"-","CNAG_00317",444,"hypothetical protein CNAG_00317","null"
"323","chr1",816203,816936,"+","CNAG_00318",158,"arp2/3 complex 16 kda subunit","null"
"324","chr1",817171,818187,"-","CNAG_00319",278,"hypothetical protein CNAG_00319","null"
"325","chr1",818412,821018,"+","CNAG_00320",746,"anaphase-promoting complex subunit 3","null"
"326","chr1",821246,826094,"+","CNAG_00321",1434,"dRaptor","null"
"327","chr1",826254,827621,"-","CNAG_00322",380,"hypothetical protein CNAG_00322","null"
"328","chr1",828031,828873,"-","CNAG_00323",167,"hypothetical protein CNAG_00323","null"
"330","chr1",833626,835621,"+","CNAG_00326",490,"hypothetical protein CNAG_00326","null"
"331","chr1",836976,837468,"-","CNAG_00327",129,"DASH complex subunit DAD2","null"
"332","chr1",837775,842130,"+","CNAG_00328",1271,"DNA excision repair protein ERCC-5","null"
"333","chr1",842254,842986,"-","CNAG_00329",159,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8","null"
"334","chr1",843583,845386,"+","CNAG_00330",542,"transcription factor TFIIIB component b\'\'","null"
"335","chr1",845746,847691,"-","CNAG_00331",491,"anon-23da protein","null"
"336","chr1",848559,852220,"-","CNAG_00332",1039,"hypothetical protein CNAG_00332","null"
"337","chr1",855457,856625,"+","CNAG_00333",336,"hypothetical protein CNAG_00333","null"
"338","chr1",857495,859721,"+","CNAG_00334",614,"hsp75-like protein","null"
"339","chr1",860082,861484,"-","CNAG_00335",399,"hypothetical protein CNAG_00335","null"
"340","chr1",862029,863657,"-","CNAG_00336",328,"hypothetical protein CNAG_00336","null"
"341","chr1",865584,868458,"+","CNAG_00337",820,"hypothetical protein CNAG_00337","null"
"346","chr1",874981,877529,"-","CNAG_00342",793,"hypothetical protein CNAG_00342","null"
"347","chr1",877920,879310,"-","CNAG_00343",391,"hypothetical protein CNAG_00343","null"
"348","chr1",880418,883668,"+","CNAG_00344",934,"hypothetical protein CNAG_00344","null"
"349","chr1",883844,885192,"-","CNAG_00345",350,"porphobilinogen synthase","null"
"350","chr1",885341,886009,"+","CNAG_00346",170,"hypothetical protein CNAG_00346","null"
"351","chr1",886207,891417,"-","CNAG_00347",1453,"DEAH box polypeptide 36","null"
"352","chr1",891659,893403,"+","CNAG_00348",529,"hypothetical protein CNAG_00348","null"
"353","chr1",894105,895243,"+","CNAG_00349",358,"hypothetical protein CNAG_00349","null"
"356","chr1",897748,898483,"+","CNAG_00351",183,"hypothetical protein CNAG_00351","null"
"357","chr1",898870,900200,"+","CNAG_00352",405,"A1 cistron-splicing factor AAR2","null"
"358","chr1",900278,901481,"-","CNAG_00353",305,"3-oxo-5-alpha-steroid 4-dehydrogenase 1","null"
"359","chr1",901962,904316,"-","CNAG_00354",628,"vacuolar protein 8","null"
"360","chr1",904540,905597,"+","CNAG_00355",301,"hypothetical protein CNAG_00355","null"
"361","chr1",905842,907482,"+","CNAG_00356",424,"survival factor 1","null"
"362","chr1",908254,909610,"+","CNAG_00357",322,"ribonuclease HI","null"
"363","chr1",909755,911655,"-","CNAG_00358",551,"tRNA dimethylallyltransferase","null"
"364","chr1",912008,913110,"-","CNAG_00359",351,"hypothetical protein CNAG_00359","null"
"365","chr1",914389,916005,"-","CNAG_00360",438,"nuclear protein SNF4","null"
"366","chr1",916860,918538,"-","CNAG_00361",431,"hypothetical protein CNAG_00361","null"
"367","chr1",918868,920939,"-","CNAG_00362",524,"hypothetical protein CNAG_00362","null"
"368","chr1",923368,928654,"+","CNAG_00363",1621,"two-component system sensor protein","TCO6"
"369","chr1",928880,930286,"-","CNAG_00364",366,"tRNA threonylcarbamoyladenosine biosynthesis protein","null"
"370","chr1",930480,932645,"+","CNAG_00365",577,"lysophospholipid acyltransferase","null"
"371","chr1",932833,935048,"+","CNAG_00366",657,"hypothetical protein CNAG_00366","null"
"372","chr1",935459,936249,"-","CNAG_00367",190,"dynactin 5","null"
"373","chr1",936418,939612,"+","CNAG_00368",802,"vacuolar-sorting protein 53 long isoform","null"
"374","chr1",939715,941085,"-","CNAG_00369",363,"hypothetical protein CNAG_00369","null"
